STOP_FRISK_DATE_STOP_FRISK_TIME,SUSPECTED_CRIME_DESCRIPTION,SUSPECT_ARRESTED_FLAG,PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG,PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG,PHYSICAL_FORCE_OC_SPRAY_USED_FLAG,PHYSICAL_FORCE_OTHER_FLAG,PHYSICAL_FORCE_RESTRAINT_USED_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,PHYSICAL_FORCE_WEAPON_IMPACT_FLAG,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,STOP_LOCATION_PRECINCT,PHYSICAL_FORCE_USED_TOTAL,PHYSICAL_FORCE_USED_TF,AGE_CATEGORY,TOTAL_STOPS,SUSPECT_NOT_ARRESTED_FLAG
2021-11-21 04:05:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,25,MALE,WHITE HISPANIC,52,1,True,Twentyone-Twentyeight,1,1
2021-11-21 04:05:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,24,MALE,BLACK,52,1,True,Twentyone-Twentyeight,1,1
2021-11-21 04:05:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,25,MALE,BLACK,52,1,True,Twentyone-Twentyeight,1,1
2021-11-21 04:41:00,BURGLARY,0,0,0,0,0,0,1,0,31,MALE,WHITE HISPANIC,70,1,True,Twentyeight-Thirtyeight,1,1
2021-11-21 04:58:00,CRIMINAL POSSESION OF WEAPON,1,0,0,0,0,0,1,0,23,MALE,BLACK,42,1,True,Twentyone-Twentyeight,1,0
2021-11-21 05:33:00,FORCIBLE TOUCHING,1,0,0,0,0,0,1,0,28,MALE,BLACK,6,1,True,Twentyone-Twentyeight,1,0
2021-11-21 09:05:00,PETIT LARCENY,1,0,0,0,0,0,1,0,30,FEMALE,BLACK HISPANIC,25,1,True,Twentyeight-Thirtyeight,1,0
2021-11-21 09:05:00,PETIT LARCENY,0,0,1,0,0,0,1,0,20,MALE,BLACK,25,2,True,Twenty and Under,1,1
2021-11-21 10:30:00,MENACING,1,1,1,0,0,1,1,0,59,MALE,BLACK,101,3,True,Thirtyeight-Above,1,0
2021-11-21 10:39:00,PETIT LARCENY,1,0,0,0,0,0,1,0,39,FEMALE,WHITE,13,1,True,Thirtyeight-Above,1,0
2021-11-21 10:39:00,PETIT LARCENY,1,0,0,0,0,0,1,0,40,MALE,WHITE,13,1,True,Thirtyeight-Above,1,0
